original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
Reply submitted by the delinquent to the charge framed would have to be considered by the disciplinary authority.	ఈ నేరానికి శిక్షాధికారి ఇచ్చిన సమాధానం విచారణకు రావాల్సి ఉంటుంది.	68.3333333333333	[70,65,70]	[-0.6128793182449984, -1.022145781249449, -0.5381396327345918]	-0.7243882440763464	en	telugu
"The respondent No.5 also submitted that her service was confirmed by order dated 21.01.2011 and that by order dated 19.03.2012 she was posted as Headmistress of said Madhabdev High School and stated that since then she serving in the said post till date.\\\', ""11."	ఈ మేరకు ఆమె 21వ తేదీన ఇచ్చిన ఉత్తర్వు ద్వారా తన సేవను ధృవీకరించారని, 19వ తేదీన ఇచ్చిన ఉత్తర్వు ద్వారా ఆమె మదబ్దేవ్ ఉన్నత పాఠశాల అధ్యాపకురాలిగా నియమించబడిందని, అప్పటి నుంచి ఈ రోజు వరకు ఈ పదవిలో పనిచేస్తున్నట్లు పేర్కొన్నారు.	66.6666666666667	[65,70,65]	[-0.1529733561179698, -0.597491449445203, -0.1460707433536975]	-0.2988451829722901	en	telugu
It is therefore clear, that there is a complete comity of purpose between the judiciary and the political-executive in the matter of selection and appointment of High Court Judges.	హైకోర్టు న్యాయమూర్తుల ఎంపిక, నియామకంలో న్యాయవ్యవస్థ, రాజకీయ కార్యనిర్వాహక సంస్థల మధ్య పూర్తి స్థాయి లక్ష్యం ఉందని స్పష్టం అవుతుంది.	75.0	[75,75,75]	[-0.23030795854150402, -0.22171838794526003, -0.16359924246831117]	-0.2052085296516917	en	telugu
The most significant of the aforesaid suggestions and relied upon by the petitioner may be usefully extracted below.	పైన పేర్కొన్న సూచనలలో అత్యంత ముఖ్యమైనవి మరియు పిటిషనర్ ఆధారపడేవి క్రింద ఉపయోగకరంగా వెలికితీయబడతాయి.	68.3333333333333	[70,65,70]	[-0.09782851813989826, -0.9925383122716744, -0.09092116710529495]	-0.3937626658389559	en	telugu
But, now, both the factions complain that the other faction has been indulging in violently disruptive activities.	కానీ, ఇప్పుడు, రెండు పార్టీలు, ఇతర పార్టీలు హింసాత్మకంగా విరామ కార్యకలాపాలు చేపట్టాయని ఫిర్యాదు చేస్తున్నాయి.	70.0	[70,70,70]	[-0.6063968419585525, -0.6204332977073073, -0.5710014016054179]	-0.5992771804237592	en	telugu
The order of termination was quashed and the Respondents were directed to extend the similar benefit as allowed to Abrar s/o Iqbal Khan.	ఈ క్రమంలో విరమణకు ఆదేశాలు రద్దు చేయబడ్డాయి మరియు అబ్రార్ స/స్ ఇక్బాల్ ఖాన్ కు లభించిన అదే ప్రయోజనాన్ని పొడిగించాలని ప్రతివాదులు ఆదేశించారు.	60.0	[60,60,60]	[-0.20811819409604138, -1.3875851750981458, -0.20122031960210005]	-0.5989745629320957	en	telugu
Also I have to hold while answering to point No.4 that both the learned single Judge and the High Court have disagreed with the correct finding of fact recorded by the CGIT in its award.	అలాగే, నేను 4వ అంశాన్ని సమాధానమిస్తూ, సిజిఐటి తన తీర్పులో నమోదు చేసిన వాస్తవాల యొక్క సరైన నిర్ధారణతో విద్యావంతుడైన ఒంటరి న్యాయమూర్తి మరియు హైకోర్టు ఇద్దరూ విభేదిస్తున్నారని నేను నిర్ధారించుకోవాలి.	75.0	[75,75,75]	[-0.0426836801618267, -0.20244458661873171, -0.03577159085689241]	-0.0936332858791502	en	telugu
I had prepared and presented the challan against the accused, which is in my handwriting and is on the file.	నేను నిందితుడిపై సవాల్ను సిద్ధం చేసి, సమర్పించాను. ఇది నా చేతిపదార్థంలో ఉంది.	65.6666666666667	[65,65,67]	[-0.1529733561179698, -0.9925383122716744, -0.12401091285433648]	-0.4231741937479936	en	telugu
He submits that the certificate issued by the R.T.O. is also doubtful.	ఆర్. టి. ఓ. జారీ చేసిన సర్టిఫికేట్ కూడా సందేహాస్పదమని ఆయన పేర్కొన్నారు.	75.0	[75,75,75]	[-0.0426836801618267, -0.20244458661873171, -0.03577159085689241]	-0.0936332858791502	en	telugu
On 7 August 2017, the Cabinet approved the proposed Bill.	ఈ బిల్లును 2017 ఆగస్టు 7న ఆమోదించింది.	91.6666666666667	[90,90,95]	[0.9172133137162037, 0.9775919378556218, 1.345625214954123]	1.0801434888419827	en	telugu
