original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
The monsoons pose as the best time of the year to withhold this place’s true beauty	ఈ ప్రదేశం యొక్క నిజమైన అందం నిరోధించడానికి ఉత్తమ సమయం వంటి రుతుపవనాలు ప్రదర్శించారు	86.6666666666667	[90,85,85]	[0.9174061205689792, 0.578709005358929, 0.58548153806425]	0.6938655546640528	en	telugu
Besides, the trek from Netwar to Osla to Har ki Doon is quite popular among tourists	అంతేకాకుండా, నెట్వార్ నుంచి ఓస్లాకు హర్కి డూన్ వరకు ప్రయాణం పర్యాటకులలో చాలా ప్రాచుర్యం పొందింది.	86.6666666666667	[85,85,90]	[0.0676059957943164, 0.587649139034211, 0.12967713788831522]	0.2616440909056142	en	telugu
It is also believed that the devotees who eat the food cooked in the boiling water get a place in Vishnu Lok, the dwelling of Lord Vishnu, the Hindu deity of preservation	వేడి నీటిలో ఉడికించిన ఆహారాన్ని తిన్న భక్తులు భగవంతుడు, హిందూ సంరక్షణ దేవత అయిన విష్ణు లోక్ లో ఒక స్థలాన్ని పొందుతారని కూడా నమ్ముతారు.	51.6666666666667	[55,50,50]	[-1.7605933973554815, -2.2227868712057326, -2.036301193799714]	-2.0065604874536427	en	telugu
He tried to find it, but did not succeed	అతను దానిని కనుగొనడానికి ప్రయత్నించాడు, కానీ విజయం సాధించలేదు	95.0	[95,95,95]	[0.1778956717504595, 1.3777428646871537, 0.18482671413671775]	0.580155083524777	en	telugu
The temple is very popular both among the tourists as well as the local population	ఈ ఆలయం పర్యాటకుల మధ్య, స్థానిక జనాభా మధ్య చాలా ప్రాచుర్యం పొందింది	81.6666666666667	[85,80,80]	[0.5363107747975147, 0.17857932007415728, 0.19564924501839845]	0.3035131132966901	en	telugu
Constructed in the Dravidian style of architecture, the Brihadeshwara Temple houses a statue of a Nandi Bull, considered sacred among Hindus	ద్రావిడియన్ నిర్మాణ శైలిలో నిర్మించిన బ్రిహేదెష్వరా ఆలయంలో ఒక నందీ బుల్ విగ్రహం ఉంది, ఇది హిందువులలో పవిత్రంగా పరిగణించబడుతుంది	83.3333333333333	[90,90,70]	[0.12275083377238796, 0.9826960018606823, -0.09092116710529495]	0.3381752228425917	en	telugu
Seafood is being exported from here in large quantities to countries like Japan, Europe, Southeast Asia, the Persian Gulf countries and the USA	ఇక్కడ నుండి పెద్ద పరిమాణంలో జపాన్, యూరప్, ఆగ్నేయాసియా, పెర్షియన్ గల్ఫ్ దేశాలు, అమెరికా వంటి దేశాలకు సముద్ర ఉత్పత్తులను ఎగుమతి చేస్తున్నారు.	85.0	[85,85,85]	[0.0676059957943164, 0.587649139034211, 0.07452756163991267]	0.2432608988228133	en	telugu
The Savitri Temple was built in 1687, on the top of the Ratnagiri Hill and is dedicated to the deserted wife of Lord Brahma, Savitri	రత్నాగిరి కొండ ఎగువన 1687లో నిర్మించిన సావిత్రి ఆలయం, బ్రాహ్మణుడి భార్య సావిత్రికి అంకితం చేయబడింది.	86.6666666666667	[85,90,85]	[0.0676059957943164, 0.9826960018606823, 0.07452756163991267]	0.3749431864316371	en	telugu
A tradition that is more than 100 years old, the Ima Keithel is a pure sign of women’s equality and independence	100 ఏళ్ళ కన్నా పాత సంప్రదాయం. ఇమా కీథెల్ అనేది మహిళల సమానత్వం, స్వతంత్రతకు నిదర్శనం.	86.6666666666667	[90,85,85]	[0.12275083377238796, 0.587649139034211, 0.07452756163991267]	0.2616425114821705	en	telugu
The fort is today occupied by the Indian army	ఈ కోట నేడు భారత సైన్యం ఆక్రమించింది	93.3333333333333	[95,95,90]	[1.2981158526348928, 1.3770982467463542, 0.9622998916422149]	1.2125046636744872	en	telugu
