original	translation	mean	source_lang	target_lang
Ancient roads called sacbes connect the buildings, and also were built to other cities in the area such as Chichén Itzá in modern-day Mexico, Caracol and Xunantunich in modern-day Belize, and Tikal in modern-day Guatemala.	தற்கால மெக்சிகோவில் உள்ள Chichn Itzmilines, தற்கால பெலிஸில் உள்ள Caracol மற்றும் Xunantunich, மற்றும் நவீன குவாதமாலாவில் உள்ள Tikal போன்ற பகுதிகளில் உள்ள பிற நகரங்களை இணைக்கும் பண்டைய சாலைகள் கட்டப்பட்டன.	46.0	en	tamil
"The name 'Bhatpara' originates from the ancient name ""Bhatta-Palli"", where 'Bhatta' denotes the sect of Bramhin Sanskrit pandits and 'palli' denotes locality or village."	'பட்பாரா' என்ற பெயர் பண்டைய பெயரான பட்டா-பள்ளி என்பதிலிருந்து உருவானது, இதில் 'பட்டா' என்பது பிராமின் சமஸ்கிருத பண்டிட்களின் பிரிவையும், 'பள்ளி' என்பது இடம் அல்லது கிராமத்தையும் குறிக்கிறது.	87.66666666666667	en	tamil
He wrote Elements of Physical Manipulations (2 vol., 1873–76).	“Elements of Physical Manipulations” (2 volume, 1873-76) என்ற நூலை எழுதியுள்ளார்.	72.0	en	tamil
"Some trees ""bleed"" xylem sap profusely when their stems are pruned in late winter or early spring, e.g."	சில மரங்களின் தண்டுகள் குளிர்காலத்தின் பிற்பகுதியிலோ அல்லது வசந்த காலத்தின் தொடக்கத்திலோ வெட்டப்படும்போது சைலம் சாறு அதிகமாக வெளியேறுகிறது.	91.0	en	tamil
Some organizations forbid the use of flash drives, and some computers are configured to disable the mounting of USB mass storage devices by users other than administrators; others use third-party software to control USB usage.	சில நிறுவனங்கள் ஃபிளாஷ் டிரைவ்களைப் பயன்படுத்துவதை தடுக்கின்றன, மேலும் சில கணினிகள் நிர்வாகிகள் அல்லாத பிற பயனர்கள் USB வெகுஜன சேமிப்பு சாதனங்களை பொருத்துவதை முடக்குமாறு கட்டமைக்கப்பட்டுள்ளன, மற்றவர்கள் USB பயன்பாட்டைக் கட்டுப்படுத்த மூன்றாம் தரப்பு மென்பொருளைப் பயன்படுத்துகின்றனர்.	81.66666666666667	en	tamil
The temple complex covers an area of two acres and all its shrines are enclosed with concentric rectangular walls.	இந்த கோயில் வளாகம் இரண்டு ஏக்கர் பரப்பளவில் அமைந்துள்ளது மற்றும் அதன் அனைத்து ஆலயங்களும் செவ்வக செவ்வக சுவர்களால் சூழப்பட்டுள்ளன.	82.0	en	tamil
Greek, Moroccan, and Spanish growers employ distinct depths and spacings that suit their locales.	கிரேக்க, மொரோக்கன் மற்றும் ஸ்பானிஷ் விவசாயிகள் தங்கள் பகுதிக்கு ஏற்ற தனித்துவமான ஆழங்களையும் இடைவெளிகளையும் பயன்படுத்துகின்றனர்.	93.66666666666669	en	tamil
Saamana is a Marathi-language newspaper published in Maharashtra, India.	சாம்னா (Saamana) என்பது இந்தியாவின் மகாராஷ்டிராவில் வெளியிடப்படும் ஒரு மராத்தி மொழி செய்தித்தாள்.	97.0	en	tamil
The pair has two daughters, Saraswathi and Lakshmi.	இவர்களுக்கு சரஸ்வதி, லட்சுமி என்ற இரண்டு மகள்கள் உள்ளனர்.	96.0	en	tamil
Each kam has a separate shrine in the clan's Jēṣṭak-hān, the temple to lineal or familial goddess Jēṣṭak.	ஒவ்வொரு காமிலும் குலத்தின் ஜெக்பைல் அக்-ஹ்சைலென், பாரம்பரிய அல்லது குடும்ப தெய்வமான ஜெக்பைல் அக்-ஹ்சைலென் கோயிலில் தனித்தனி சன்னதி உள்ளது.	43.66666666666666	en	tamil
He was the member of the fifth Tamil Nadu assembly.	இவர் ஐந்தாவது தமிழக சட்டமன்ற உறுப்பினராக இருந்தார்.	97.66666666666669	en	tamil
