original	translation	mean	source_lang	target_lang
Other products include sugarcane, strawberries, tomatoes and celery.	ఇతర ఉత్పత్తులలో చక్కెర గడ్డి, స్ట్రాబెర్రీ, టమోటాలు, సెలెరీ ఉన్నాయి.	90.0	en	telugu
After the Anglo Bhutan War, the territory was virtually under the command of the British forces.	ఆంగ్ల భూటాన్ యుద్ధం తరువాత, ఈ భూభాగం వాస్తవంగా బ్రిటిష్ దళాల ఆదేశం క్రింద ఉంది.	80.0	en	telugu
While the groups might have migrated to the area at different times and as distinctly different ethnic groups, the current distinctions are contemporary socio-cultural constructs.	ఈ సమూహాలు వేర్వేరు సమయాల్లో మరియు విభిన్న జాతి సమూహాలుగా ఈ ప్రాంతానికి వలస వచ్చినప్పటికీ, ప్రస్తుత విభేదాలు సమకాలీన సాంఘిక-సాంస్కృతిక నిర్మాణాలు.	80.0	en	telugu
In this battle multiple opponents viz.	ఈ యుద్ధంలో బహుళ ప్రత్యర్థులు, అవి.	53.3333333333333	en	telugu
The majority of the species in the collection belong to the plant families Cupressaceae, Pinaceae, Fabaceae, Caprifoliaceae, Oleaceae and Rosaceae, and the genera Juniperus, Quercus, Syringa and Clematis are particularly well represented.	సేకరణలో ఉన్న జాతుల మెజారిటీ కప్రెసాసీ, పినాసీ, ఫాబసీ, కాప్రిఫాలియాసీ, ఒలీయాసీ మరియు రోసాసీ కుటుంబాలకు చెందినవి, మరియు జునిపెరస్, క్వెర్కస్, సిరింగా మరియు క్లెమాటిస్ జాతులు ప్రత్యేకంగా బాగా ప్రాతినిధ్యం వహిస్తాయి.	70.0	en	telugu
The national team is the Mozambique national football team.	జాతీయ జట్టు మొజాంబిక్ జాతీయ ఫుట్బాల్ జట్టు.	80.0	en	telugu
Ton Koopman is a Dutch conductor, organist and harpsichordist.	టోన్ కూప్మాన్ ఒక డచ్ డైరెక్టర్, ఆర్గనైస్ట్ మరియు కీబోరెక్స్.	90.0	en	telugu
The Romans made a distinction between the Roman provinces of downstream Germania Inferior (nowadays part of Belgium and the Netherlands) and upstream Germania Superior (nowadays part of Germany).	రోమన్లు జర్మనీ ఇన్ఫర్నియర్ (ఇప్పుడు బెల్జియం మరియు నెదర్లాండ్స్లో భాగం) మరియు జర్మనీ సూపరీయర్ (ఇప్పుడు జర్మనీలో భాగం) యొక్క రోమన్ ప్రావిన్సుల మధ్య వ్యత్యాసం చేసారు.	68.3333333333333	en	telugu
Muslims are divided between those of Malagasy ethnicity, Indians, Pakistanis and Comorans.	ముస్లింలు మాలాగసీ జాతి, భారతీయులు, పాకిస్తానీలు, కామూర్ల మధ్య విభజించబడ్డారు.	80.0	en	telugu
There is, however, disagreement about who founded the village.	అయితే, ఈ గ్రామాన్ని ఎవరు స్థాపించారు అనే అంశంపై వివాదం ఉంది.	80.0	en	telugu
During the reigns of Albert I and Baudouin, the Belgian royal family had a reputation of deeply rooted Catholicism.	ఆల్బర్ట్ I మరియు బాడూయిన్ పాలనలో, బెల్జియన్ రాజ కుటుంబం లోతైన మూలాలున్న కాథలిక్కుల పేరును కలిగి ఉంది.	75.0	en	telugu
He then ventured into Telugu cinema and composed songs and background score for around 25 films in three South Indian languages.	ఆ తర్వాత తెలుగు సినిమా రంగంలోకి అడుగుపెట్టాడు. దక్షిణ భారత మూడు భాషల్లో 25 సినిమాలకు పాటలు, బ్యాక్గ్రౌండ్ స్కోర్ రాశాడు.	85.0	en	telugu
It lies on the Gudur–Katpadi branch line and is administered under Guntakal railway division of South Coast Railway zone.	ఇది గుదుర్ కత్తపడ్డీ శాఖ లైన్లో ఉంది మరియు దక్షిణ తీర రైల్వే జోన్ యొక్క గుంటకాల్ రైల్వే విభాగం కింద నిర్వహించబడుతుంది.	70.0	en	telugu
Naturally occurring ingredients contain various amounts of molecules called proteins, carbohydrates and fats.	సహజంగా సంభవించే పదార్ధాలలో ప్రోటీన్లు, కార్బోహైడ్రేట్లు మరియు కొవ్వులు అని పిలువబడే వివిధ పరిమాణాలలో అణువులు ఉంటాయి.	81.3333333333333	en	telugu
His successor Said bin Sultan increased Omani Arab influence in the region, moving his administration to nearby Zanzibar, which came under Omani rule.	అతని వారసుడు సయిద్ బిన్ సుల్తాన్ ఈ ప్రాంతంలో ఒమన్ అరబ్ ప్రభావం పెరిగి, తన పరిపాలనను సమీపంలోని జంజిబార్కు తరలించాడు, ఇది ఒమన్ పాలనలో వచ్చింది.	86.0	en	telugu
He studied at the Theosophical High School at Adayar in Madras and later enrolled at the Government Arts College at Anantapur, an affiliate of the University of Madras, as an undergraduate.	అతను మద్రాస్ లోని అడయార్ లోని థియోసాఫిక్ హై స్కూల్లో చదువుకున్నాడు. తరువాత మద్రాస్ విశ్వవిద్యాలయం అనుబంధ సంస్థ అయిన అనంతపూర్ లోని ప్రభుత్వ కళల కళాశాలలో అండర్గ్రాడ్యుయేట్గా చేరాడు.	78.3333333333333	en	telugu
[citation needed] Kulothunga II preferred to live in Chidambaram rather than the royal capital at Gangaikonda Cholapuram.	[మార్చు అవసరం] గంగాకోండ చోలాపురం రాజధాని కంటే చిదంబరం లో నివసించాలని కులోతుంగ II ఇష్టపడతాడు.	70.0	en	telugu
Gandhara was often linked politically with the neighboring regions of Kashmir and Kamboja.	గాంధారాను తరచూ పొరుగు ప్రాంతమైన కాశ్మీర్, కంబోజాలతో రాజకీయ సంబంధాలు ఏర్పడ్డాయి.	60.0	en	telugu
"Marxist Friedrich Engels wrote: ""I have learned more [from Balzac] than from all the professional historians, economists and statisticians put together""."	"మార్క్సిస్ట్ ఫ్రిడ్రిచ్ ఎంగెల్స్ ఇలా రాశాడుః ""అన్ని వృత్తిపరమైన చరిత్రకారులు, ఆర్థికవేత్తలు మరియు గణాంకవేత్తల నుండి నేను నేర్చుకున్న దానికంటే ఎక్కువ [బాల్జాక్] నుండి నేర్చుకున్నాను""."	74.0	en	telugu
The then Prime Minister Indira Gandhi argued for the abolition based on equal rights for all citizens and the need to reduce the government's revenue deficit.	అప్పటి ప్ర ధాన మంత్రి ఇందిరా గాంధీ అన్ని పౌరులకు సమాన హక్కుల ఆధారంగా రద్దు చేయబడాలని, ప్రభుత్వ ఆదాయ లోటును తగ్గించాల్సిన అవసరాన్ని వాదించారు.	45.0	en	telugu
Functions can be added through add-ons created by third-party developers.	మూడవ పార్టీ డెవలపర్లు సృష్టించిన యాడ్-ఆన్ల ద్వారా ఫంక్షన్లను జోడించవచ్చు.	70.0	en	telugu
