original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
Gandhinagar and Mehsana saw 14 each, Kutch 11, Junagadh nine, Kheda eight, Dahod seven, Bhavnagar six, Bharuch, Sabarkantha, and Anand five each, Narmada, Panchmahals, and Morbi four each, Surendranagar, Porbandar, Tapi, Amreli, Patan, and Gir-Somnath two each, and Devbhoomi Dwarka, Navsari, and Mahisagar with one each.	गांधीनगर और मेहसाणा में 14-14, कच्छ में 11, जूनागढ़ में नौ, खेड़ा में आठ, दाहोद में सात, भावनगर में छह, भरूच, साबरकांठा और आणंद में पांच-पांच, नर्मदा, पंचमहल और मोरबी में चार-चार, सुरेंद्रनगर, पोरबंदर, तापी, अमरेली, पाटन और गिर-सोमनाथ में दो-दो तथा देवभूमि द्वारका, नवसारी और महिसागर में एक-एक मामला सामने आया है।	93.25	[100, 95, 87, 91]	[0.7546978603796021, 0.511977020780935, 1.5708982692183586, 1.2637771985259838]	1.02533758722622	en	hindi
A lot of people come with post Covid complications.	बहुत से लोग कोविड के बाद की जटिलताओं के साथ आते हैं।	87.75	[100, 100, 66, 85]	[0.7546978603796021, 0.9045637206015503, -0.5871105289268125, 0.7509704179546899]	0.4557803675022574	en	hindi
Hence, making the correct diagnosis is essential for providing the appropriate treatment.	इसलिए, उचित उपचार प्रदान करने के लिए सही निदान करना आवश्यक है।	89.75	[100, 100, 71, 88]	[0.7546978603796021, 0.9045637206015503, -0.07329891032081937, 1.007373808240337]	0.6483341197251675	en	hindi
Record 3,830 more corona cases in Kerala	केरल में कोरोना के रिकॉर्ड 3,830 नए मामले	84.75	[100, 85, 84, 70]	[0.7546978603796021, -0.2731963788602956, 1.2626112980547628, -0.5310465334735449]	0.3032665615251311	en	hindi
The same mask is being used frequently.	एक ही मास्क का उपयोग अक्सर किया जा रहा है।	86.75	[100, 100, 67, 80]	[0.7546978603796021, 0.9045637206015503, -0.4843482052056139, 0.3236314341452783]	0.3746362024802042	en	hindi
Pfizer India has become the first pharmaceutical firm to seek from the Drugs Controller General of India (DCGI) an emergency use authorisation for its COVID-19 vaccine in the country after its parent company secured such clearance in the UK and Bahrain.	फाइजर इंडिया भारत के ड्रग्स कंट्रोलर जनरल (डीसीजीआई) से अपने कोविड-19 वैक्सीन के आपातकालीन उपयोग की अनुमति मांगने वाली पहली दवा कंपनी बन गई है।	62.5	[75, 75, 59, 41]	[-0.9650480885313601, -1.058369778501526, -1.306446794975203, -3.009612639568132]	-1.584869325394055	en	hindi
The coronavirus is spreading rapidly in the country and so far more than one lakh people have been infected with the corona.	देश में कोरोना वायरस तेजी से फैल रहा है और अब तक एक लाख से अधिक लोग इससे संक्रमित हो चुके हैं।	79.75	[85, 90, 69, 75]	[-0.2771497089669753, 0.11939032096031973, -0.2788235577632166, -0.10370754966413329]	-0.1350726238585014	en	hindi
The Sputnik V, launched in India on May 1, has been developed by the Gamaleya Institute in Moscow with the Russian Direct Investment Fund (RDIF).	1 मई को भारत में लॉन्च किए गए स्पुटनिक-वी को रूसी प्रत्यक्ष निवेश कोष (आरडीआईएफ) के साथ मास्को में गामालिया संस्थान द्वारा विकसित किया गया है।	77.5	[100, 80, 68, 62]	[0.7546978603796021, -0.6657830786809108, -0.38158588148441525, -1.2147889075686034]	-0.3768650018385818	en	hindi
There are now 63,752 active cases and 6,68,733 cured patients in Kerala.	केरल में अब 63,752 सक्रिय मामले हैं और 6,68,733 मरीज ठीक हो चुके हैं।	85.75	[95, 95, 77, 76]	[0.4107486705974096, 0.511977020780935, 0.5432750320063724, -0.018239752902250973]	0.3619402426206165	en	hindi
No case was reported from 17 districts for the last 14 days.	पिछले 14 दिनों से 17 जिलों से कोई मामला सामने नहीं आया है।	86.75	[95, 95, 65, 92]	[0.4107486705974096, 0.511977020780935, -0.6898728526480111, 1.349244995287866]	0.3955244585045499	en	hindi
