original	translation	mean	source_lang	target_lang
The answer is no.	જવાબ છે ના.	96.66666666666669	en	gujarati
Raja Singh was referring to Rahul Gandhi’s tweet which read, “BJP & RSS control Facebook & Whatsapp in India.	રાજા સિંહે રાહુલ ગાંધીના ટ્વીટનો ઉલ્લેખ કર્યો હતો જેમાં લખ્યું હતું, “ભાજપ અને આરએસએસ ભારતમાં ફેસબુક અને વોટ્સએપ નિયંત્રિત કરે છે.	100.0	en	gujarati
Of them, 118 were positive.	જેમાંથી 118 લોકો પોઝિટિવ આવ્યા છે.	90.0	en	gujarati
He was speaking on the topic, ‘Indian Economy–Challenges and Way Forward’, at a meeting of Chartered Accountants (CAs) in the city.	તેઓ શહેરમાં ચાર્ટર્ડ એકાઉન્ટન્ટ્સ (સીએ) ની બેઠકમાં ‘ભારતીય અર્થતંત્ર-પડકારો અને આગળનો માર્ગ’ વિષય પર વાત કરી રહ્યા હતા.	100.0	en	gujarati
The case was registered and proved by the CBI and the ED.	સીબીઆઇ અને ઇડી દ્વારા આ કેસ નોંધવામાં આવ્યો હતો અને સાબિત કરવામાં આવ્યો હતો.	96.66666666666669	en	gujarati
﻿AHMEDABAD: The Gujarat high court has held that the two-finger test to check the virginity of rape victims is unconstitutional.	અમદાવાદઃ ગુજરાત હાઈકોર્ટે બળાત્કારનો ભોગ બનેલી મહિલાઓના કૌમાર્ય પરીક્ષણ માટે બે આંગળીઓનો ટેસ્ટ કરાવવો ગેરબંધારણીય ગણાવ્યો છે.	93.33333333333331	en	gujarati
In Jamnagar, Ravi Chauhan (27) drowned in Rangmati River while he had stepped for bathing.	જામનગરમાં રાવી ચૌહાણ (27) રંગમતી નદીમાં ડૂબી ગયા હતા.	36.66666666666666	en	gujarati
this has been reported many occasions.	આ અનેક પ્રસંગોએ નોંધાયું છે.	93.33333333333331	en	gujarati
Of these, as many as 9,456 are in home quarantine, while 15,525 are in hospital isolation.	આમાંથી 9,456 લોકો હોમ ક્વૉરેન્ટાઇનમાં છે, જ્યારે 15,525 લોકો હોસ્પિટલોમાં ક્વૉરેન્ટાઇનમાં છે.	86.66666666666667	en	gujarati
You may face obstacles in your professional path.	તમને તમારા વ્યાવસાયિક માર્ગમાં અવરોધો આવી શકે છે.	96.66666666666669	en	gujarati
“But, it has aggravated in the last 15 days.	પરંતુ છેલ્લા 15 દિવસમાં તેમાં વધારો થયો છે.	90.0	en	gujarati
Tulsiyan is a fourth-generation entrepreneur in a 60-yearold textile business.	60 વર્ષના કાપડ ઉદ્યોગમાં ચૌથી પેઢીના ઉદ્યોગસાહસિક તુલસીયાન છે.	78.33333333333333	en	gujarati
Qureshi said her research is on the subject of the teacher-disciple tradition as depicted in the Vedas, the Upanishadas and the Puranas.	કુરેશીએ જણાવ્યું હતું કે, તેમનું સંશોધન વેદો, ઉપનિષદો અને પુરાણોમાં દર્શાવેલા શિક્ષક-શિષ્ય પરંપરાના વિષય પર છે.	96.66666666666669	en	gujarati
Senior coach of the district coaching centre at Godhra, Pratap Pasaya, said Baria had to struggle against all odds to reach this level.	ગોધરા ખાતે જિલ્લા કોચિંગ સેન્ટરના વરિષ્ઠ કોચ પ્રતાપ પસાયએ જણાવ્યું હતું કે, બારિયાએ આ સ્તર સુધી પહોંચવા માટે તમામ અવરોધો સામે સંઘર્ષ કરવો પડ્યો હતો.	93.33333333333331	en	gujarati
“Yashpal was arrested from his home in Mahisagar on Wednesday night by Mahisagar police and handed over to the Gandhinagar police.	યશપાલની મહિસાગર પોલીસે બુધવારે રાત્રે તેમના ઘરેથી ધરપકડ કરી હતી અને ગાંધીનગર પોલીસને સોંપી હતી.	78.33333333333333	en	gujarati
“For self-drive holidays, the US, western Europe, and New Zealand are the most popular countries (for Indians).	સેલ્ફ ડ્રાઇવ રજાઓ માટે અમેરિકા, પશ્ચિમ યુરોપ અને ન્યૂઝીલેન્ડ ભારતીયો માટે સૌથી વધુ લોકપ્રિય છે.	85.0	en	gujarati
2,751 new Covid-19 cases, nine deaths in Telangana	તેલંગાણામાં કોવિડ-19ના 2,751 નવા કેસ, નવ લોકોના મોત	100.0	en	gujarati
The said will was in fact given to us by Gopal Singh’s brother Sanjay after his death.	આ વસીયત ગોપાલસિંહના ભાઈ સંજય સિંહે તેમના મૃત્યુ પછી અમને આપી હતી.	86.66666666666667	en	gujarati
There was possibility of rain and thunder in parts of the city.	શહેરના કેટલાક ભાગોમાં વરસાદ અને કરા પડવાની શક્યતા છે.	68.33333333333333	en	gujarati
