original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
They may tell you to gradually use less of it, and use it less often, before you stop completely.	ते तुम्हाला हळूहळू त्याचा वापर कमी करायला सांगतील आणि तुम्ही पूर्णपणे थांबण्यापूर्वी तो कमी वेळा वापरायला सांगतील.	69.0	70 68 69	1.354920 -1.094570 0.130175	0.130174707	en	marathi
Your doctor will probably recommend reducing your dose gradually over several weeks, or longer if you have been taking duloxetine for a long time.	बऱ्याच आठवड्यांपासून आपण डुलॉक्सेटिन घेत असाल तर डॉक्टर कदाचित हळूहळू डोस कमी करण्याची शिफारस करतील.	44.333333333333336	43 44 46	-1.403135 -0.601351 1.002216	-0.334089998	en	marathi
Before you're discharged from hospital, an occupational therapist may arrange to visit you at home to see if your home needs to be adapted to make it more accessible.	रुग्णालयातून सुट्टी देण्यापूर्वी व्यावसायिक थेरपिस्ट तुमच्या घरी येण्याची व्यवस्था करू शकतो.	46.0	48 47 43	-4.488594	-1.496198069	en	marathi
There are no side effects from the scan, although the lubricating gel may feel cold and you may experience some minor discomfort when the electrodes are removed from your skin at the end of the test.	स्कॅनमुळे कोणतेही दुष्परिणाम होत नाहीत, जरी लूब्रिकेटिंग जेलला थंडी जाणवू शकते आणि चाचणीच्या शेवटी आपल्या त्वचेतून इलेक्ट्रोड काढून टाकल्यावर आपल्याला किरकोळ त्रास होऊ शकतो.	69.0	70 68 69	1.302842 -1.146648 0.078097	0.078096633	en	marathi
If you or your child has been diagnosed with liver disease, the british liver trust or children's liver disease foundation can also offer advice and support.	जर तुम्हाला किंवा तुमच्या मुलाला यकृताचा आजार असल्याचे निदान झाले असेल तर ब्रिटीश यकृत ट्रस्ट किंवा मुलांचे यकृताचे आजार फाउंडेशन देखील सल्ला आणि मदत देऊ शकते.	69.0	70 68 69	1.292406 -1.157083 0.067661	0.067661396	en	marathi
There's little evidence to support the use of medicine for treating antisocial personality disorder, although certain antipsychotic and antidepressant medicines may be helpful in some instances.	असामाजिक व्यक्तिमत्त्वाच्या विकारावर उपचार करण्यासाठी औषधांच्या वापराचे समर्थन करण्यासाठी थोडे पुरावे आहेत, जरी काही प्रकरणांमध्ये काही मनोविकार विरोधी आणि नैराश्य विरोधी औषधे उपयुक्त ठरू शकतात.	68.0	67 71 66	-0.348196 1.503444 -0.811106	0.114714108	en	marathi
Do not drive a car, ride a bike, use tools or operate machinery if solifenacin makes you sleepy, gives you blurred vision, or makes you feel dizzy, clumsy or unable to concentrate or make decisions.	सोलीफेनासिनमुळे झोप लागत असेल, दृष्टी धुसर होत असेल, चक्कर येत असेल, लक्ष केंद्रित करता येत नसेल किंवा निर्णय घेता येत नसेल तर गाडी चालवू नका, सायकल चालवू नका, साधने वापरू नका किंवा मशीनरी चालवू नका.	69.0	70 68 69	1.247900 -1.201590 0.023155	0.023155078	en	marathi
For people who are unable to have surgery – for example, because of other medical conditions or they're too frail – a tablet called cinacalcet may be used to help control the condition.	जे लोक शस्त्रक्रिया करू शकत नाहीत-उदाहरणार्थ, इतर वैद्यकीय परिस्थितीमुळे किंवा ते खूपच दुर्बल आहेत-त्यांच्या स्थितीवर नियंत्रण ठेवण्यासाठी सिनाकॅल्सेट नावाच्या गोळ्याचा वापर केला जाऊ शकतो.	88.0	90 88 86	1.938513 0.713768 -0.510977	0.713767773	en	marathi
It may be possible to help control the symptoms of munchausen's syndrome if the person admits they have a problem and co-operates with treatment.	जर एखाद्या व्यक्तीने आपल्याला समस्या असल्याचे मान्य केले आणि उपचारांना सहकार्य केले तर मुनचौसेन सिंड्रोमच्या लक्षणांवर नियंत्रण ठेवणे शक्य होऊ शकते.	82.33333333333333	82 83 82	-0.404572 1.716748 -0.404572	0.302534447	en	marathi
That's because it takes around a week for fluoxetine levels to build up in your body, and then a few weeks longer for your body to adapt and get used to it.	कारण तुमच्या शरीरात फ्लूऑक्सिटिनची पातळी वाढण्यास एक आठवडा लागतो आणि नंतर तुमच्या शरीराला त्याची सवय होण्यास काही आठवडे अधिक लागतात.	54.666666666666664	57 56 51	-0.356241 0.225218 -0.302682	-0.144568321	en	marathi
The symptoms and features of both mosaicism and partial trisomy tend to be less severe than in simple trisomy 13, resulting in more babies living longer.	मोझेसिझम आणि आंशिक ट्रायसोमी या दोन्हीची लक्षणे आणि वैशिष्ट्ये साध्या ट्रायसोमी १३ पेक्षा कमी गंभीर असतात, परिणामी अधिक बाळांचे आयुष्य वाढते.	56.666666666666664	51 56 63	-1.296428 -0.280500 1.141799	-0.145042934	en	marathi
You'll have a discussion with your doctor or surgeon before the procedure to decide whether a synthetic or animal tissue replacement valve is most suitable for you.	कृत्रिम किंवा प्राण्यांच्या पेशी बदलण्यासाठीचे वॉल्व आपल्यासाठी सर्वात योग्य आहे की नाही हे ठरवण्यापूर्वी तुम्ही तुमच्या डॉक्टर किंवा शल्य चिकित्सकशी चर्चा कराल.	54.333333333333336	53 50 60	-0.443940 -1.159942 1.226730	-0.125717031	en	marathi
This is usually painless, and can be used for temporary relief in people who are not able to have other treatments.	हे सहसा वेदनारहित असते आणि ज्यांना इतर उपचार करता येत नाहीत अशा लोकांमध्ये तात्पुरता दिलासा देण्यासाठी याचा वापर केला जाऊ शकतो.	79.33333333333333	80 83 75	0.582136 1.491273 -0.933093	0.38010564	en	marathi
Fluoride varnish should be offered 2 or more times a year for children of all ages with tooth decay or those at high risk of developing it.	सर्व वयोगटातील मुलांसाठी वर्षातून दोन किंवा त्याहून अधिक वेळा फ्लुओराईड वार्निश द्यावे.	42.0	40 44 42	-2.286615 0.162875 -1.061870	-1.061869639	en	marathi
If you take it twice a day, you’ll usually have 1 dose in the morning and 1 dose in the evening.	दिवसातून दोनदा लसीचा डोस घेतला तर सकाळी एक डोस आणि संध्याकाळी एक डोस मिळेल.	56.0	59 55 54	1.377953 -0.473687 -0.936597	-0.010777368	en	marathi
Many popular skincare brands also make products that contain benzoyl peroxide, but at a lower strength.	अनेक लोकप्रिय स्किनकेअर ब्रँड देखील अशी उत्पादने बनवतात ज्यात बेंझोयल पेरोक्साईड असते, परंतु त्यांची ताकद कमी असते.	87.66666666666667	88 86 89	0.937567 -0.666000 1.739351	0.670305856	en	marathi
If you are being sick, drink plenty of fluids, such as water or squash, to avoid dehydration.	जर तुम्ही आजारी असाल तर निर्जलीकरण टाळण्यासाठी भरपूर पाणी किंवा स्क्वॉश प्या.	79.0	78 80 79	-0.817739 1.631751 0.407006	0.407005996	en	marathi
Symptoms may include pain in the throat, feeling generally unwell, swelling of the thyroid gland and, sometimes, symptoms of an overactive thyroid gland or symptoms of an underactive thyroid gland.	लक्षणांमध्ये घशात वेदना, सामान्यतः अस्वस्थ वाटणे, थायरॉइड ग्रंथीची सूज आणि कधीकधी अतिसक्रिय थायरॉइड ग्रंथीची लक्षणे किंवा अक्रियाशील थायरॉइड ग्रंथीची लक्षणे समाविष्ट असू शकतात.	71.33333333333333	74 68 72	1.083348 -1.322003 0.281564	0.014303162	en	marathi
Acral lentiginous melanomas are a rare type of melanoma that usually grow on the palms of the hands and soles of the feet.	अक्रल लेंटिजिनस मेलेनोमा हा एक दुर्मिळ प्रकार आहे जो सहसा हाताच्या हातांवर आणि पायांच्या तळव्यांवर वाढतो.	39.0	40 38 39	0.529736 -1.919754 -0.695009	-0.695008962	en	marathi
You may also have back pain, but it's not usually as bad as the pain in your bottom, leg or foot.	पाठीच्या खांद्यातही वेदना होतात, पण पायाच्या खांद्याइतकी वेदना सहसा होत नाही.	39.0	40 38 39	0.497845 -1.951645 -0.726900	-0.726900259	en	marathi
sometimes in the middle of eating a meal or during a conversation.	कधी कधी जेवताना, कधी संभाषण करताना.	79.0	82 79 76	1.649606 0.424861 -0.799884	0.424861111	en	marathi
It's also used to treat infected insect bites, skin ulcers, bed sores and wounds, and to treat and prevent bacterial and parasitic infections.	संसर्गजन्य कीटक चावणे, त्वचेवरील व्रण, बेड फोड आणि जखमांवर उपचार करण्यासाठी आणि जीवाणू आणि परजीवी संसर्गावर उपचार करण्यासाठी याचा वापर केला जातो.	49.0	50 48 49	0.784733 -1.664757 -0.440012	-0.440012206	en	marathi
While they're useful in stopping bleeding, they can block blood vessels and stop blood flowing to organs such as the brain, heart or lungs if they form in the wrong place.	ते रक्तस्त्राव थांबविण्यासाठी उपयुक्त असले तरी ते रक्तवाहिन्यांना अडवू शकतात आणि मेंदू, हृदय किंवा फुफ्फुसासारख्या अवयवांना होणारा रक्त पुरवठा थांबवू शकतात.	49.0	50 48 49	0.878759 -1.570731 -0.345986	-0.345986195	en	marathi
your eye may be red and watery but your vision should not be affected.	डोळे लाल असतील, डोळे पाणावले असतील, पण दृष्टीवर परिणाम होऊ नये.	59.0	60 58 59	1.214960 -1.234530 -0.009785	-0.009785025	en	marathi
It's ok to use terbinafine cream, gel, spray and solution when you're breastfeeding, as long as you are not putting it on or near your nipples.	स्तनपान करताना टर्बिनाफिन क्रीम, जेल, फवारणी आणि द्रावण वापरणे ठीक आहे, जोपर्यंत तुम्ही ते स्तनपान करत नाही किंवा स्तनपान करत नाही.	45.666666666666664	47 49 41	-0.324377 0.263971 -2.089423	-0.716609567	en	marathi
Do not use it for more than 10 days unless you've spoken to your doctor.	डॉक्टरांशी चर्चा केल्याशिवाय दहा दिवसांपेक्षा जास्त काळ याचा वापर करू नका.	87.66666666666667	88 86 89	0.965097 -0.638470 1.766881	0.69783608	en	marathi
You can start to do the gentle exercises your doctor or nurse gives you as soon as you feel comfortable, usually the day after your surgery.	तुम्ही तुमच्या डॉक्टरांच्या किंवा नर्सच्या देखरेखीखाली, सहसा शस्त्रक्रियेनंतर दुसऱ्या दिवशी, तुम्हाला आराम वाटतो तेव्हा तुम्ही सौम्य व्यायाम करायला सुरुवात करू शकता.	49.0	50 48 49	0.918841 -1.530649 -0.305904	-0.305904362	en	marathi
You may see an improvement in your symptoms after a couple of weeks, although it usually takes between 4 and 6 weeks before you feel the full benefits.	दोन आठवड्यांनंतर आपल्या लक्षणांमध्ये सुधारणा दिसून येईल, मात्र त्याचा पूर्ण फायदा होण्यास साधारणपणे 4 ते 6 आठवडे लागतात.	49.0	50 48 49	1.005573 -1.443917 -0.219172	-0.219172009	en	marathi
