original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
A grand gateway to the site was carved, at the apex of the gorge's horseshoe between caves 15 and 16, as approached from the river, and it is decorated with elephants on either side and a nāga, or protective Naga (snake) deity.	इस स्थल के लिए एक भव्य प्रवेश द्वार की नक्काशी की गई थी, जो 15 और 16 गुफाओं के बीच खाई के घोड़े की नाल के शीर्ष पर था, जैसा कि नदी से संपर्क किया गया था, और इसे दोनों तरफ हाथियों और एक nsygga, या सुरक्षात्मक नागा (सांप) देवता के साथ सजाया गया है।	78.25	[90, 80, 70, 73]	[0.06679948081521715, -0.6657830786809108, -0.17606123404201798, -0.27464314318789795]	-0.2624219937739024	en	hindi
Mouth and eyes are indicated by incised lines.	मुंह और आंखों को छेदी हुई लाइनों द्वारा इंगित किया जाता है।	91.0	[95, 90, 89, 90]	[0.4107486705974096, 0.11939032096031973, 1.776422916660756, 1.1783094017641014]	0.8712178274956466	en	hindi
Out of 13,463 items, only 349 are on display in four galleries.	13, 463 वस्तुओं में से केवल 349 वस्तुओं को ही चार दीर्घाओं में प्रदर्शित किया गया है।	88.25	[100, 100, 75, 78]	[0.7546978603796021, 0.9045637206015503, 0.33775038456397516, 0.15269584062151367]	0.5374269515416603	en	hindi
A loop issues down from it on the front side and appears to be attached with a band warped around the head.	इससे एक लूप सामने की ओर निकलता है और ऐसा लगता है कि यह सिर के चारों ओर एक बैंड के साथ जुड़ा हुआ है।	85.0	[100, 100, 70, 70]	[0.7546978603796021, 0.9045637206015503, -0.17606123404201798, -0.5310465334735449]	0.2380384533663974	en	hindi
Pentagonal carnelian beads in rubbed condition, found in Kaushambi, Uttar Pradesh, India.	भारत के उत्तर प्रदेश के कौशाम्बी में रगड़ की स्थिति में पेंटागोनल कार्नेलियन मनके पाए गए।	74.75	[85, 80, 78, 56]	[-0.2771497089669753, -0.6657830786809108, 0.646037355727571, -1.7275956881398973]	-0.5061227800150531	en	hindi
According to Richard Cohen, a description of the caves by 7th-century Chinese traveler Xuanzang and scattered medieval graffiti suggest that the Ajanta Caves were known and probably in use subsequently, but without a stable or steady Buddhist community presence.	रिचर्ड कोहेन के अनुसार, 7 वीं शताब्दी के चीनी यात्री जुआनजांग और बिखरे हुए मध्ययुगीन भित्ति चित्रों से पता चलता है कि अजंता गुफाएं ज्ञात थीं और शायद बाद में उपयोग में थीं, लेकिन एक स्थिर या स्थिर बौद्ध समुदाय की उपस्थिति के बिना।	76.5	[90, 80, 67, 69]	[0.06679948081521715, -0.6657830786809108, -0.4843482052056139, -0.6165143302354272]	-0.4249615333266837	en	hindi
Gorkhas, speaking Nepali as their native language, form the majority which includes indigenous ethnic groups such as the Bhutia, Chhetri, Gurung, Lepcha, Limbu, Magar, Newars, Rai, Sherpa, Tamang, Yolmo, along with several other denominations under the Indo-Aryan Khas and the Tibeto-Burman Kiratas.	गोरखा, नेपाली को अपनी मूल भाषा के रूप में बोलते हुए, बहुमत बनाते हैं, जिसमें भूटिया, छेत्री, गुरुंग, लेप्चा, लिम्बू, मगर, नेवार, राय, शेरपा, तमांग, योल्मो जैसे स्वदेशी जातीय समूह शामिल हैं, साथ ही इंडो-आर्यन खास और तिब्बती-बर्मन किरातों के तहत कई अन्य संप्रदाय भी शामिल हैं।	77.0	[90, 85, 68, 65]	[0.06679948081521715, -0.2731963788602956, -0.38158588148441525, -0.9583855172829565]	-0.3865920742031125	en	hindi
The go-to place for a steaming cup of tea and a snack of Bun-maska or Samosa is Sharma ji ki Chai in Hazratgunj.	हजरतगंज में एक कप चाय और बन-मस्का या समोसा का नाश्ता करने के लिए जाने वाला स्थान शर्मा जी की चाय है।	86.0	[90, 90, 72, 92]	[0.06679948081521715, 0.11939032096031973, 0.029463413400379262, 1.349244995287866]	0.3912245526159455	en	hindi
He built a monastery of brass within the Mahavihara and remitted to it the revenues of 100 villages.	उन्होंने महाविहार के भीतर पीतल का एक मठ बनाया और इसे 100 गांवों का राजस्व भेजा।	85.0	[95, 95, 76, 74]	[0.4107486705974096, 0.511977020780935, 0.44051270828517375, -0.1891753464260156]	0.2935157633093757	en	hindi
Sri-Mandal is a stringed instrument made of metal, cotton, and steel.	श्री-मंडल धातु, कपास और इस्पात से बना एक तार वाला उपकरण है।	94.75	[100, 100, 89, 90]	[0.7546978603796021, 0.9045637206015503, 1.776422916660756, 1.1783094017641014]	1.153498474851502	en	hindi
Chanting or recitation of prayers in Sanskrit (Hindu Vedic chanting) is in the form of a simple praise or eulogy called stuti, sukta or stava.	संस्कृत में प्रार्थना का जप या पाठ (हिंदू वैदिक जप) स्तुति या स्तुति के रूप में होता है जिसे स्तुति, सुक्त या स्तव कहा जाता है।	73.5	[65, 75, 67, 87]	[-1.652946468095745, -1.058369778501526, -0.4843482052056139, 0.9219060114784545]	-0.5684396100811077	en	hindi
