original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
It is, therefore, quite clear that the court should construe the language of according to the established rules of interpretation and arrive at its true meaning uninfluenced by any assumed spirit of the Constitution.	આથી, એ સ્પષ્ટ છે કે અદાલતોએ અર્થઘટનના સ્થાપિત નિયમો અનુસાર ભાષાનો અર્થ કરવો જોઈએ અને બંધારણની કોઈ પણ કલ્પિત ભાવનાથી પ્રભાવિત ન થઈને તેના સાચા અર્થ પર પહોંચવું જોઈએ.	100.0	[100, 100, 100]	[1.1950006304212712, 0.8428845590846488, 0.5954918714784742]	0.8777923536614648	en	gujarati
SCC Online SC 339.	SCC ઓનલાઇન SC 339.	100.0	[100, 100, 100]	[1.2010727322675232, 0.8564305171192773, 0.6070119356946091]	0.8881717283604699	en	gujarati
Criminal appeals may now be listed for consideration by the regular Bench.	ફોજદારી અપીલોને હવે નિયમિત ખંડપીઠ દ્વારા વિચારણા માટે સૂચીબદ્ધ કરી શકાશે.	100.0	[100, 100, 100]	[1.1950006304212712, 0.8428845590846488, 0.5954918714784742]	0.8777923536614648	en	gujarati
The discretion must be exercised only by the authority.	આ વિવેકાધિકારનો ઉપયોગ માત્ર સત્તાધીશો દ્વારા જ કરવો જોઈએ.	90.0	[70, 100, 100]	[-0.6564203729861059, 0.8564305171192773, 0.6070119356946091]	0.2690073599425935	en	gujarati
T.S.Mahabaleshwara, learned counsel for respondents	એસ. ટી. એસ. મહાબલેશ્વરા, પ્રતિવાદીઓ માટે વિદ્વત વકીલ	80.0	[70, 80, 90]	[-0.6909388001810802, -0.12444997063406882, 0.1614641571525005]	-0.2179748712208828	en	gujarati
3.10.3 A country’s decision to abolish or retain the death penalty is not necessarily linked to its socio- economic or development profile; rather, political will and leadership are key.	3. 10. 3 મૃત્યુદંડને નાબૂદ કરવાનો કે જાળવી રાખવાનો કોઈ દેશનો નિર્ણય તેના સામાજિક-આર્થિક કે વિકાસ પ્રોફાઇલ સાથે જરૂરી નથી, પરંતુ રાજકીય ઈચ્છાશક્તિ અને નેતૃત્વ કી છે.	61.66666666666666	[70, 65, 50]	[-0.6564203729861059, -0.9543610832623659, -1.7980843171283178]	-1.1362885911255969	en	gujarati
The knife has been recovered at the instance of the accused from a place shown by him.	આરોપીના ઇશારે તેણે બતાવેલી જગ્યાએથી છરી જપ્ત કરવામાં આવી છે.	78.33333333333333	[100, 65, 70]	[1.2010727322675232, -0.9543610832623659, -0.8360458159991471]	-0.1964447223313299	en	gujarati
This witness has identified the accused persons in the Court.	આ સાક્ષીએ કોર્ટમાં આરોપીઓની ઓળખ કરી છે.	100.0	[100, 100, 100]	[1.2010727322675232, 0.8564305171192773, 0.6070119356946091]	0.8881717283604699	en	gujarati
We make it clear that we have not expressed any opinion on the dispute between the appellant and the respondent as to whether the Facilitation Deed was voidable or not on account of fraud and misrepresentation.	અમે સ્પષ્ટ કરીએ છીએ કે, અમે અપીલકર્તા અને પ્રતિવાદી વચ્ચેના વિવાદ પર કોઈ અભિપ્રાય વ્યક્ત કર્યો નથી કે, છેતરપિંડી અને ખોટી રજૂઆતને કારણે સુવિધાજનક ડીડ રદ થઈ શકે છે કે નહીં.	85.0	[90, 75, 90]	[0.5819083638496467, -0.43699205458189644, 0.12599268513002365]	0.0903029981325913	en	gujarati
Police had brought the vehicle to Chankyapuri.	પોલીસ આ કારને ચાણક્યપુરી લઈ આવી હતી.	100.0	[100, 100, 100]	[1.2016985268306446, 0.8935456991742678, 0.6384631443090745]	0.9112357901046624	en	gujarati
All the contentions of all the parties were kept open.	તમામ પક્ષોની તમામ દલીલો ખુલ્લી રાખવામાં આવી હતી.	100.0	[100, 100, 100]	[1.2010727322675232, 0.8564305171192773, 0.6070119356946091]	0.8881717283604699	en	gujarati
Similar situation prevailed in Anshuman Shukla's case.	અંશુમન શુક્લાના કેસમાં પણ આવી જ સ્થિતિ હતી.	100.0	[100, 100, 100]	[1.2010727322675232, 0.8564305171192773, 0.6070119356946091]	0.8881717283604699	en	gujarati
As long back as 1971, the Law Commission in its 4274 report pleaded for obliterating Section 309 from the Statute Book.	વર્ષ 1971માં કાયદા પંચે તેના 4274ના અહેવાલમાં કાયદાના પુસ્તકમાંથી કલમ 309ને નાબૂદ કરવાની વિનંતી કરી હતી.	86.66666666666667	[60, 100, 100]	[-1.2755847414039823, 0.8564305171192773, 0.6070119356946091]	0.0626192371366347	en	gujarati
General tips for oral health	મોઢાની તંદુરસ્તી માટે સામાન્ય ટીપ્સ	100.0	[100, 100, 100]	[1.2010727322675232, 0.8564305171192773, 0.6070119356946091]	0.8881717283604699	en	gujarati
Inasmuch as, in absence of any express provision about the procedure for registration of such document, that requirement cannot be considered as mandatory.	કારણ કે, આવા દસ્તાવેજની નોંધણી માટેની પ્રક્રિયા વિશે કોઈ સ્પષ્ટ જોગવાઈ ન હોય તો, તે જરૂરિયાતને ફરજિયાત માનવામાં નહીં આવે.	100.0	[100, 100, 100]	[1.2010727322675232, 0.8564305171192773, 0.6070119356946091]	0.8881717283604699	en	gujarati
