original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
“Abetment involves a mental process of instigating a person or intentionally aiding a person in doing of a thing.	தூண்டுதல் என்பது ஒரு நபரைத் தூண்டும் மன செயல்முறை அல்லது ஒரு செயலை செய்ய வேண்டுமென்றே ஒரு நபருக்கு உதவுவதை உள்ளடக்கியது.	90.33333333333331	[90,92,89]	[0.2847011846332932, 0.45428590102794053, 0.18868416669024274]	0.3092237507838255	en	tamil
17 Karnataka SeMT in place	17 கர்நாடகா நடைமுறையில் உள்ளது.	79.33333333333333	[70,90,78]	[-0.8846400654007692, 0.34485708797922815, -0.5112570981914211]	-0.3503466918709874	en	tamil
The arguments advanced on the strength of the provisions of Section 19 of the Bombay Rent Act would also stand answered on the above basis.	பம்பாய் வாடகைச் சட்டத்தின் 19-வது பிரிவின் வலிமையின் அடிப்படையில் முன்வைக்கப்பட்ட வாதங்களுக்கும் மேற்சொன்ன அடிப்படையில் பதில் அளிக்கப்படும்.	87.33333333333333	[80,95,87]	[-0.299969440383738, 0.6184291206010091, 0.06142211852994021]	0.1266272662490704	en	tamil
385-386 correctly when it indicated that the Appellate Court was under an obligation to adjourn the case to another date if the appellant or his lawyer remained absent.	மேல் முறையீட்டாளர் அல்லது அவரது வழக்கறிஞர் ஆஜராகாமல் இருந்தால், மேல்முறையீட்டு நீதிமன்றம் மற்றொரு தேதிக்கு வழக்கை ஒத்திவைக்க வேண்டிய கடமையுடையது என்று அது சுட்டிக் காட்டியபோது 385-386 சரியாக இருந்தது.	92.33333333333331	[90,95,92]	[0.2847011846332932, 0.6184291206010091, 0.3795772389306965]	0.4275691813883329	en	tamil
v. State of Punjab etc.	வி. பஞ்சாப் மாநிலம் முதலியன.	95.66666666666669	[98,95,94]	[0.7524376846469182, 0.6184291206010091, 0.506839287090999]	0.6259020307796421	en	tamil
Even so, in the light of the pronouncement of this Court in Rupa Ashok Hurra’s case (supra), if against a final judgment of this Court, a remedy was not available under of the Constitution the same would also not be available under If this Court could not take resort to for reopening for examination its final judgement, the High Court could also not do so under The only remedy which the appellants could resort to in terms of the view taken in Rupa Ashok Hurra’s case (supra) is by invoking this Court’s inherent powers under Articles 129 and 142 of the Constitution of India for recall, reversal or modification of the order passed by this Court in the criminal appeal filed by the appellants.	இருந்தபோதிலும், ரூபா அசோக் ஹுர்ரா வழக்கில் (மேலே) இந்த நீதிமன்றத்தின் தீர்ப்பின் அடிப்படையில், இந்த நீதிமன்றத்தின் இறுதி தீர்ப்புக்கு எதிராக, அரசியலமைப்பின் கீழ் ஒரு தீர்வு கிடைக்காவிட்டால், அது அதன் இறுதி தீர்ப்பை மீண்டும் திறப்பதற்கு இந்த நீதிமன்றத்தால் முயற்சிக்க முடியாவிட்டால், உயர்நீதிமன்றமும் அதைச் செய்ய முடியாது.	42.0	[25,70,31]	[-3.5156578779774095, -0.7494310425078954, -3.5019152299585303]	-2.5890013834812784	en	tamil
The World Health Report 2006 - Working together for health	உலக சுகாதார அறிக்கை 2006-ஆரோக்கியத்துக்காக இணைந்து பணியாற்றுதல்	96.33333333333331	[92,100,97]	[0.40163530963669947, 0.8920011532227899, 0.6977323593314528]	0.6637896073969808	en	tamil
The President said he is impressed by the great strides taken by Vietnam in economic and social development. Vietnam is a pillar of India’s Look East Policy.	இந்தியாவின் கிழக்கு நோக்கிய கொள்கையின் தூணாக வியட்நாம் திகழ்கிறது.	44.0	[30,70,32]	[-3.223322565468894, -0.7494310425078954, -3.438284205878379]	-2.470345937951723	en	tamil
50 lakhs towards compensation to the appellant and, accordingly, it is so ordered.	50 லட்சம் இழப்பீடு வழங்க வேண்டும் என்று உத்தரவிடப்பட்டுள்ளது.	58.333333333333336	[45,70,60]	[-2.3463166279433474, -0.7494310425078954, -1.6566155316341438]	-1.5841210673617956	en	tamil
(e)  to furnish the return of income which he is required to furnish under sub-section (4A) or sub-section (4C) of section 139 or to furnish it within the time allowed and in the manner required under those sub-sections; or	(ஈ) பிரிவு 139ன் உட்பிரிவு (4ஏ) அல்லது உட்பிரிவு (4சி)-இன் கீழ் அவர் அளிக்க வேண்டிய வருமானத்திற்கான விவரணத்தை அல்லது அந்த உட்பிரிவுகளின் கீழ் அனுமதிக்கப்பட்ட காலத்திற்குள் மற்றும் தேவைப்படும் முறையில் அளிக்க வேண்டும் அல்லது	87.33333333333333	[85,88,89]	[-0.007634127875222391, 0.2354282749305158, 0.18868416669024274]	0.1388261045818453	en	tamil
