original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
Mentaliseren Bevorderende Kinder Therapie is translated as “therapy for children enhancing their ability to mentalise”.	મેન્ટાલિસેરેન બેવોર્ડેરેન્ડે કિન્ડર થેરાપીનો અનુવાદ “બાળકોમાં માનસિક ક્ષમતા વધારવા માટે થેરાપી” તરીકે કરવામાં આવે છે.	87.33333333333333	[77, 90, 95]	[-0.19629344701174545, 0.3308040250113504, 0.3603055083353168]	0.1649386954449739	en	gujarati
Her skin became clear and the tongue clean and red.	તેની જીભ સ્વચ્છ અને લાલ થઈ ગઈ હતી.	63.333333333333336	[85, 55, 50]	[0.2723261796407086, -1.4717301119428354, -1.7980843171283178]	-0.9991627498101484	en	gujarati
A week later the third food is added and so on.	એક અઠવાડિયા પછી ત્રીજું ભોજન ઉમેરવામાં આવે છે.	59.333333333333336	[73, 55, 50]	[-0.4382576343914005, -1.461477844245194, -1.756371759953099]	-1.218702412863231	en	gujarati
Only those people at high risk of contracting TB will be vaccinated, as opposed to all school children in the UK.	યુકેમાં શાળાના તમામ બાળકોની સરખામણીમાં ટીબીના ચેપનું ઊંચું જોખમ ધરાવતા લોકોને જ રસી આપવામાં આવશે.	81.33333333333333	[69, 80, 95]	[-0.7183368098278936, -0.1783075402416617, 0.36650231041231635]	-0.1767140132190796	en	gujarati
It takes a lot of will power.	તેમાં ખૂબ જ ઇચ્છાશક્તિની જરૂર પડે છે.	91.33333333333333	[74, 100, 100]	[-0.4385871565795169, 0.8935456991742678, 0.6384631443090745]	0.3644738956346084	en	gujarati
It is quite apparent that the use of functional tests is a subject that merits a much greater research input.	એ સ્પષ્ટ છે કે, કાર્યાત્મક પરીક્ષણોનો ઉપયોગ એક એવો વિષય છે, જે વધારે સંશોધન ઇનપુટ મેળવવા લાયક છે.	90.0	[90, 90, 90]	[0.5819083638496467, 0.3390614884388078, 0.12599268513002365]	0.348987512472826	en	gujarati
In India 23 per cent of children are initiated with breastfeeding within one hour of birth.	ભારતમાં 23 ટકા બાળકો જન્મના એક કલાકની અંદર સ્તનપાન કરાવે છે.	51.666666666666664	[85, 40, 30]	[0.2723261796407086, -2.2477836549635395, -2.760122818257489]	-1.578526764526773	en	gujarati
If your doctor thinks you may have diphtheria, swabs will be taken from your nose, throat and any skin wounds, cuts or ulcers so that the infection or bacteria can be examined under the microscope in a laboratory.	જો તમારા ડૉક્ટરને લાગે છે કે તમને ડિપ્થીરિયા છે, તો તમારા નાક, ગળા અને ત્વચાના કોઈ પણ ઘાવ, કટ અથવા અલ્સરમાંથી સ્વેબ લેવામાં આવશે જેથી ઇન્ફેક્શન અથવા બેક્ટેરિયાની તપાસ લેબોરેટરીમાં માઇક્રોસ્કોપથી કરી શકાય.	78.33333333333333	[100, 65, 70]	[1.2010727322675232, -0.9543610832623659, -0.8360458159991471]	-0.1964447223313299	en	gujarati
Disaster-affected people are particularly vulnerable to communicable diseases when the disaster and its immediate consequences reduce resistance to disease because of malnutrition, stress, fatigue, etc. and when post-disaster living conditions are unsanitary.	જ્યારે આપત્તિ અને તેના તાત્કાલિક પરિણામો કુપોષણ, તણાવ, થાક વગેરેને કારણે રોગની પ્રતિકારકતામાં ઘટાડો કરે છે અને જ્યારે આપત્તિ પછીની જીવન સ્થિતિ અસ્વચ્છ હોય છે ત્યારે આપત્તિ અસરગ્રસ્ત લોકો ખાસ કરીને ચેપી રોગોના જોખમમાં હોય છે.	45.0	[60, 45, 30]	[-1.2755847414039823, -1.989099140623305, -2.760122818257489]	-2.008268900094925	en	gujarati
If a serving of a food has 18% protein, then that food is providing 18% of your daily protein needs if you eat 2,000 calories per day.	જો કોઈ ભોજનમાં 18 ટકા પ્રોટીન હોય તો, જો તમે દરરોજ 2,000 કેલરી ખાવ છો તો તે ખોરાક તમારી દૈનિક પ્રોટીનની જરૂરિયાતનો 18 ટકા પ્રદાન કરે છે.	61.333333333333336	[84, 50, 50]	[0.19229195242439134, -1.6514434753465739, -1.7465317914737952]	-1.0685611047986592	en	gujarati
Sometimes deficiencies of vitamin B6 and folic acid are also involved.	કેટલીકવાર વિટામિન બી 6 અને ફોલિક એસિડની ઉણપ પણ તેમાં સામેલ હોય છે.	91.33333333333333	[74, 100, 100]	[-0.40875462561895537, 0.8564305171192773, 0.6070119356946091]	0.351562609064977	en	gujarati
At the time of the birth my son he was given BCG vaccination on time, but no scar appeared and the same was repeated after three-four months but still no scar appeared.	મારા પુત્રના જન્મ સમયે તેને સમયસર બીસીજી રસીકરણ આપવામાં આવ્યું હતું, પરંતુ કોઈ નિશાન દેખાયું નહોતું અને તે જ ત્રણ-ચાર મહિના પછી પુનરાવર્તન કરવામાં આવ્યું હતું પરંતુ હજુ સુધી કોઈ નિશાન દેખાયું નહોતું.	96.66666666666667	[90, 100, 100]	[0.5819083638496467, 0.8564305171192773, 0.6070119356946091]	0.6817836055545111	en	gujarati
Almost two-thirds of Americans are overweight or obese, and more than half of them get too little physical activity.	લગભગ બે તૃતિયાંશ અમેરિકનોનું વજન વધારે હોય છે અથવા તેઓ મેદસ્વી હોય છે અને તેમાંથી અડધાથી વધુ લોકો ખૂબ ઓછી શારીરિક પ્રવૃત્તિ કરે છે.	96.33333333333333	[89, 100, 100]	[0.5199919270078591, 0.8564305171192773, 0.6070119356946091]	0.6611447932739152	en	gujarati
This will require 95% of the world's population to be immunised.	આ માટે દુનિયાની 95 ટકા વસ્તીને રસીકરણ કરાવવું પડશે.	82.66666666666667	[88, 80, 80]	[0.45807549016607146, -0.1783075402416617, -0.35502656543456174]	-0.0250862051700506	en	gujarati
Avoiding the irritant and not rubbing your eyes will help.	ચીડિયાપણું ટાળવા અને આંખોને ન ઘસવાથી મદદ મળશે.	88.0	[64, 100, 100]	[-1.0279189940368316, 0.8564305171192773, 0.6070119356946091]	0.1451744862590182	en	gujarati
