original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
In some places in Uttar Pradesh, they draw a face of the moon with rice paste on the ground and say prayers while offering kumkum (red pigment used by Hindus), rice, flowers and sweets.	उत्तर प्रदेशात काही ठिकाणी ते तांदळाच्या पेस्टसह चंद्राचा चेहरा काढतात आणि कुंकुम (हिंदूंनी वापरलेला लाल रंग), तांदूळ, फुले आणि मिठाई अर्पण करताना प्रार्थना करतात.	87.66666666666667	88 86 89	0.901542 -0.702026 1.703325	0.634280492	en	marathi
The evening has its own delicacies to offer. Kaashi Chaat Bhandar, Dena Chaat in Luxa and Banarasi Chaat in Lanka are famous for offering your choice of Chaat.	काशी चाट भंडार, लंकेतील देना चाट आणि बनारसी चाट आपल्या आवडीच्या चाटसाठी प्रसिद्ध आहेत.	39.0	40 38 39	-6.156912	-2.052303973	en	marathi
A percussion instrument, played with the help of two sticks.	वाद्य यंत्र, दोन काठींनी वाजवले जाते.	39.0	40 38 39	0.460196 -1.989293 -0.764548	-0.764548452	en	marathi
Used by the ‘Pradhan’ community for vocal accompaniment to songs and dance sequences.	'प्रधान' समुदायाद्वारे गाणी आणि नृत्य अनुक्रमणांसाठी गाण्यासाठी वापरले जाते.	44.0	45 43 44	0.907738 -1.541752 -0.317007	-0.317007161	en	marathi
These are ritual paintings made in honour of the dead with the purpose of preventing sickness and disease and for the welfare of the family.	हे आजार आणि आजार रोखण्यासाठी आणि कुटुंबाच्या कल्याणासाठी मृतांच्या सन्मानार्थ तयार केलेले धार्मिक चित्रे आहेत.	39.0	40 38 39	0.604254 -1.845236 -0.620491	-0.62049091	en	marathi
Satvika Abhinaya - expressing by evoking the state of mind of the character.	सात्विक अभिनय-व्यक्तिमत्त्वाच्या मनःस्थितीची जाणीव करून देऊन व्यक्त करणे.	49.0	50 48 49	1.004082 -1.445408 -0.220663	-0.220663226	en	marathi
It is thus a one-stringed musical instrument that can produce a wide variety of tunes and melodies.	हे एक-तारेचे संगीत साधन आहे जे विविध प्रकारचे संगीत आणि संगीत तयार करू शकते.	59.0	60 58 59	1.316844 -1.132645 0.092099	0.092099406	en	marathi
Gambhira is more than a hundred and fifty years old and is a unique song and dance art form which used to be traditionally presented during the annual Shiva festival in Malda known as the Gambhira utsav.	गंभीरा 150 वर्षांहून अधिक जुना आहे आणि एक अद्वितीय गीत आणि नृत्य कला आहे जी मालदामध्ये वार्षिक शिव उत्सव म्हणून ओळखली जाते.	59.0	60 58 59	1.307295 -1.142195 0.082550	0.082549679	en	marathi
This battle began on the 10th of November 1708, when the Mughal emperor Bahadur Shah began his march to Amer.	ही लढाई १० नोव्हेंबर १७०८ रोजी सुरू झाली, जेव्हा मुघल सम्राट बहादूर शाह आमेरकडे निघाला.	79.0	78 80 79	-0.808560 1.640930 0.416185	0.416185329	en	marathi
This feature, though introduced in the 16th century by the Lodis, would be taken forward by the founder of the Mughal dynasty, Zahir-ud-din Muhammad Babur.	हे वैशिष्ट्य १६ व्या शतकात लोदींनी आणले असले तरी मुघल राजवंशाचे संस्थापक जहीर-उद-दीन मुहम्मद बाबर यांनी ते पुढे नेले.	59.0	60 58 59	1.319982 -1.129508 0.095237	0.095236719	en	marathi
