original	translation	mean	scores	z_scores	z_mean	source_lang	target_lang
Measles is one of the leading causes of vaccine-preventable child mortality.	தடுப்பூசி மூலம் தடுக்கக்கூடிய குழந்தை இறப்புக்கான முக்கிய காரணங்களில் ஒன்றாக தட்டம்மை உள்ளது.	83.33333333333333	[95,71,84]	[0.5770364971418088, -0.6947166359835392, -0.12947095371051356]	-0.0823836975174146	en	tamil
Sentinel sites, and the communities within the sites, were selected semi purposively.	சென்டினல் தளங்கள் மற்றும் தளங்களுக்குள் உள்ள சமூகங்கள் பகுதி நோக்கத்துடன் தேர்ந்தெடுக்கப்பட்டன.	88.0	[87,90,87]	[0.14539766617527167, 0.33954755334247033, 0.11592771514281035]	0.2002909782201841	en	tamil
Currently, even where trafficking is criminalised, cases are not investigated or investigations do not result in convictions.	தற்போது, கடத்தல் குற்றமாக்கப்பட்டாலும், வழக்குகள் விசாரிக்கப்படுவதில்லை அல்லது புலனாய்வுகள் தண்டனை அளிப்பதில்லை.	87.33333333333333	[86,90,86]	[0.05083293462648073, 0.34485708797922815, -0.0022089055502110488]	0.1311603723518326	en	tamil
Sleep will no more be a problem	தூக்கம் இனி ஒரு பிரச்சனையாக இருக்காது.	98.66666666666667	[98,98,100]	[0.7524376846469182, 0.7825723401740775, 0.8886254315719065]	0.8078784854643007	en	tamil
Other newer methods use colorimetric or fluorometric technology in the place of radioactive isotopes.	மற்ற புதிய முறைகள் கதிரியக்க ஐசோடோப்புகளுக்குப் பதிலாக நிறமாலை அல்லது புளோரோமெட்ரிக் தொழில்நுட்பத்தைப் பயன்படுத்துகின்றன.	86.66666666666667	[82,90,88]	[-0.13858215057330556, 0.33954755334247033, 0.17927619336292536]	0.1267471987106967	en	tamil
When you are depressed, you tend to eat more.	மனச்சோர்வு ஏற்படும்போது, நீங்கள் அதிகம் சாப்பிடுவீர்கள்.	96.0	[95,98,95]	[0.5997653729729951, 0.8059590277139956, 0.6227155409037304]	0.6761466471969072	en	tamil
Abu Ali ibn Sina (Avicenna) also stated that bodily secretion is contaminated by foul foreign earthly bodies before being infected, but he did not view them as primary causes of disease.	அபு அலி இப்னு சினா (இப்னு சினா) என்பவரும் நோய் தொற்றுவதற்கு முன்பு மோசமான வெளிநாட்டு பூமிக்குரிய உடல்களால் உடல் சுரப்பு மாசுபடுகிறது என்று கூறினார், ஆனால் அவற்றை நோய்க்கான முதன்மை காரணங்களாக அவர் கருதவில்லை.	58.0	[50,68,56]	[-2.0539813154348314, -0.8588598555566077, -1.9111396279547488]	-1.6079935996487291	en	tamil
To safeguard the nutritional health of women during their reproductive age, it is important to consider pre-pregnant status as well as that during pregnancy and lactation.	கருவுறும் பருவத்தில் பெண்களின் ஊட்டச்சத்து ஆரோக்கியத்தைப் பாதுகாக்க, கர்ப்பத்திற்கு முந்தைய நிலையையும், கருவுற்ற மற்றும் பாலூட்டும் காலத்தையும் கருத்தில் கொள்வது முக்கியம்.	95.66666666666667	[99,90,98]	[0.8109047471486213, 0.34485708797922815, 0.761363383411604]	0.6390417395131511	en	tamil
They unnecessarily irritate the stomach and intestines, weakening the colon.	அவை தேவையில்லாமல் வயிற்றையும் குடலையும் எரிச்சலூட்டுகின்றன, பெருங்குடலை பலவீனப்படுத்துகின்றன.	95.66666666666667	[95,98,94]	[0.5997653729729951, 0.8059590277139956, 0.5593670626836154]	0.6550304877902021	en	tamil
The ideal diet should take into consideration the vitamin and mineral requirement of the body.	உடலின் வைட்டமின் மற்றும் தாது உப்புகளின் தேவையை கருத்தில் கொண்டு சரியான உணவு முறை இருக்க வேண்டும்.	97.33333333333333	[99,95,98]	[0.8109047471486213, 0.6184291206010091, 0.761363383411604]	0.7302324170537448	en	tamil
For non-vegetarians mixed diet is ideal.	அசைவ உணவு உண்பவர்களுக்கு கலப்பு உணவு மிகவும் உகந்தது.	90.0	[86,95,89]	[0.05083293462648073, 0.6184291206010091, 0.18868416669024274]	0.2859820739725775	en	tamil
Older kids often like making their own snacks, so provide the ingredients and a few simple instructions.	வயதான குழந்தைகள் பெரும்பாலும் தங்கள் சொந்த சிற்றுண்டிகளை தயாரிக்க விரும்புகிறார்கள், எனவே பொருட்களையும் சில எளிய வழிமுறைகளையும் வழங்குங்கள்.	92.33333333333333	[89,95,93]	[0.22623412213159008, 0.6184291206010091, 0.44320826301084776]	0.4292905019144823	en	tamil
This vaccine enables your body to create antibodies against the tetanus toxin, which then protect you from the illness if you were to become infected with the bacteria.	இந்த தடுப்பூசி உங்கள் உடலை டெட்டனஸ் நச்சுக்கு எதிராக ஆன்டிபாடிகளை உருவாக்க உதவுகிறது, இது நீங்கள் பாக்டீரியாவால் பாதிக்கப்பட்டால் நோயிலிருந்து உங்களைப் பாதுகாக்கிறது.	96.66666666666667	[93,98,99]	[0.4861734462735643, 0.8059590277139956, 0.8761094537841904]	0.7227473092572501	en	tamil
When you feel lonely and there is nothing to do with a lot of food lying around in the house, you tend to feed yourself.	நீங்கள் தனிமையாக உணரும்போது, வீட்டைச் சுற்றியுள்ள ஏராளமான உணவுடன் எந்தத் தொடர்பும் இல்லை என்று உணரும்போது, நீங்களே உண்ணும் போக்கில் இருப்பீர்கள்.	81.0	[90,70,83]	[0.2847011846332932, -0.7494310425078954, -0.19310197779066482]	-0.219277278555089	en	tamil
You may also experience a loss of appetite, nausea and a harsh dry cough.	பசி குறைதல், குமட்டல் மற்றும் கடுமையான வறட்டு இருமல் ஆகியவற்றையும் நீங்கள் அனுபவிக்கலாம்.	95.0	[93,98,94]	[0.46010237213840255, 0.7825723401740775, 0.506839287090999]	0.5831713331344931	en	tamil
Bending up to a certain point is easy, beyond this point you feel tension in your muscles and if you still go further you will feel pain.	ஒரு குறிப்பிட்ட புள்ளி வரை வளைவது எளிது, இந்த கட்டத்திற்கு அப்பால் உங்கள் தசைகளில் பதற்றத்தை நீங்கள் உணருகிறீர்கள், இன்னும் நீங்கள் சென்றால் வலியை உணருவீர்கள்.	73.33333333333333	[75,70,75]	[-0.5923047528922536, -0.7494310425078954, -0.7021501704318749]	-0.6812953219440079	en	tamil
Kids who watch more than 4 hours a day are more likely to be overweight compared with kids who watch 2 hours or less.	நாளொன்றுக்கு 4 மணி நேரத்திற்கு மேல் பார்க்கும் குழந்தைகள் 2 மணி நேரத்திற்கும் குறைவாக பார்க்கும் குழந்தைகளுடன் ஒப்பிடுகையில் அதிக எடை உடையவர்களாக இருக்க அதிக வாய்ப்பு உள்ளது.	97.0	[98,95,98]	[0.7524376846469182, 0.6184291206010091, 0.761363383411604]	0.7107433962198438	en	tamil
More rigorous estimates became available for 1995 and for 2000.	1995 மற்றும் 2000 ஆம் ஆண்டுகளில் மேலும் கடுமையான மதிப்பீடுகள் கிடைத்தன.	76.33333333333333	[81,70,78]	[-0.24150237788203488, -0.7494310425078954, -0.5112570981914211]	-0.5007301728604504	en	tamil
A fast in some religions is undertaken during mourning.	துக்கத்தின் போது சில மதங்களில் நோன்பு மேற்கொள்ளப்படுகிறது.	95.66666666666667	[95,98,94]	[0.5770364971418088, 0.7825723401740775, 0.506839287090999]	0.6221493748022952	en	tamil
LSPSS was decided that a detailed survey would be undertaken to elicit information regarding various traditional practices in the area of Mother and Child Health.	தாய்-சேய் சுகாதாரத் துறையில் பின்பற்றப்படும் பல்வேறு பாரம்பரிய நடைமுறைகள் குறித்த தகவல்களை அறிய விரிவான ஆய்வு ஒன்றை மேற்கொள்ள முடிவு செய்யப்பட்டது.	80.33333333333333	[89,70,82]	[0.22623412213159008, -0.7494310425078954, -0.2567330018708161]	-0.2599766407490405	en	tamil
About 60 per cent of births in the developing world are attended by skilled health personnel.	வளரும் நாடுகளில் பிறக்கும் குழந்தைகளில் 60 சதவீதம் பேர் திறமையான சுகாதாரப் பணியாளர்களாக உள்ளனர்.	94.66666666666667	[92,98,94]	[0.40163530963669947, 0.7825723401740775, 0.506839287090999]	0.563682312300592	en	tamil
Sugar is known to lower the body's resistance to infection, and furthermore it feeds the yeast that may be triggering the infections in the first place.	சர்க்கரை, தொற்றுக்கான உடலின் எதிர்ப்பு சக்தியை குறைப்பதாக அறியப்படுகிறது, மேலும் இது முதலில் தொற்றுகளைத் தூண்டும் ஈஸ்ட்டுக்கு உணவளிக்கிறது.	91.33333333333333	[91,90,93]	[0.34316824713499633, 0.34485708797922815, 0.44320826301084776]	0.3770778660416907	en	tamil
Iron should always be taken in its natural organic form in food, as the use of inorganic iron can prove hazardous.	கனிம இரும்பைப் பயன்படுத்துவது ஆபத்தானதாக இருக்கக்கூடும் என்பதால், இரும்பை எப்போதும் அதன் இயற்கை கரிம வடிவத்தில் உணவில் எடுத்துக் கொள்ள வேண்டும்.	87.0	[75,98,88]	[-0.5923047528922536, 0.7825723401740775, 0.12505314261009146]	0.1051069099639718	en	tamil
Even after recovery, it is essential to maintain the diet for a long period to prevent recurrence of the trouble.	குணமடைந்த பிறகும், தொல்லைகள் மீண்டும் ஏற்படாமல் தடுக்க நீண்ட காலத்திற்கு உணவை பராமரிப்பது அவசியம்.	89.66666666666667	[90,90,89]	[0.315785556224418, 0.33954755334247033, 0.24262467158304035]	0.2993192603833096	en	tamil
You should not to drive, or operate machinery straight after using eye drops, and, before doing so, you should always make sure that your vision is clear.	கண் சொட்டு மருந்தை பயன்படுத்திய பிறகு வாகனத்தை ஓட்டுவதோ, இயந்திரங்களை இயக்குவதோ கூடாது.	58.0	[65,50,59]	[-1.1769753779092849, -1.8437191729950189, -1.720246555714295]	-1.5803137022061997	en	tamil
Case fatality rate may increase due to certain factors such as high malnutrition rates in young children or limited knowledge in the community about the danger signs of severe illness.	இளம் குழந்தைகளுக்கு அதிக ஊட்டச்சத்து விகிதம் அல்லது கடுமையான நோயின் ஆபத்து அறிகுறிகள் குறித்து சமுதாயத்தில் குறைவான அறிவு போன்ற சில காரணிகளால் இறப்பு விகிதம் அதிகரிக்கலாம்.	75.0	[78,70,77]	[-0.41690356538714424, -0.7494310425078954, -0.5748881222715724]	-0.580407576722204	en	tamil
It is known as 'tired bold ' disturbance.	இது 'தளர்ந்த துணிச்சலான' தொந்தரவு என்று அழைக்கப்படுகிறது.	70.33333333333333	[70,70,71]	[-0.8201337107698908, -0.8264811325863429, -0.8976479363790296]	-0.8480875932450878	en	tamil
See to it that they do not enter your mind.	அவர்கள் உங்கள் மனதிற்குள் நுழையாமல் பார்த்துக் கொள்ளுங்கள்.	84.66666666666667	[97,70,87]	[0.7133572996724261, -0.8264811325863429, 0.11592771514281035]	0.0009346274096311	en	tamil
A good snack should take more time to eat than it does to prepare!	ஒரு நல்ல சிற்றுண்டி தயாரிப்பதை விட சாப்பிடுவதற்கு அதிக நேரத்தை எடுத்துக் கொள்ள வேண்டும்!	92.0	[96,90,90]	[0.6355035596435119, 0.34485708797922815, 0.252315190770394]	0.4108919461310447	en	tamil
Your GP should also be able to prescribe creams, such as a mild steroid creams, that can help relieve the symptoms of itchiness.	உங்கள் ஜிபி லேசான ஸ்டீராய்டு கிரீம் போன்ற கிரீம்களையும் பரிந்துரைக்க வேண்டும், இது அரிப்பின் அறிகுறிகளை குறைக்க உதவும்.	91.0	[88,95,90]	[0.16776705962988697, 0.6184291206010091, 0.252315190770394]	0.34617045700043	en	tamil
If you feel you have not done enough exercise you can increase the speed till you feel exhausted.	நீங்கள் போதுமான உடற்பயிற்சி செய்யவில்லை என்று நீங்கள் உணர்ந்தால், நீங்கள் சோர்வாக உணரும் வரை வேகத்தை அதிகரிக்கலாம்.	93.66666666666667	[95,90,96]	[0.5997653729729951, 0.33954755334247033, 0.6860640191238454]	0.541792315146437	en	tamil
The report was launched at the second Countdown to 2015 Conference held in Cape Town, South Africa, from April 17 to 19, with the 118th Inter-Parliamentary Union Assembly.	இந்த அறிக்கை தென்னாப்பிரிக்காவின் கேப்டவுனில் ஏப்ரல் 17 முதல் 19 வரை நடைபெற்ற 2015 ஆம் ஆண்டுக்கான இரண்டாவது கவுண்ட்டவுன் மாநாட்டில் வெளியிடப்பட்டது.	92.33333333333333	[93,90,94]	[0.46010237213840255, 0.34485708797922815, 0.506839287090999]	0.4372662490695432	en	tamil
Children who have hyperleukocytosis (too many white blood cells), especially monocytic M5 leukemia, have a poor prognosis.	ஹைப்பர்லூக்கோசைட்டோசிஸ் (அதிக வெள்ளை இரத்த அணுக்கள்), குறிப்பாக மோனோசைட்டிக் எம்5 லூகேமியா உள்ள குழந்தைகளுக்கு குறைவான நோய் அறிகுறி உள்ளது.	90.66666666666667	[90,90,92]	[0.2847011846332932, 0.34485708797922815, 0.3795772389306965]	0.3363785038477392	en	tamil
Older kids may be able to pitch in even more, such as getting ingredients, washing produce, mixing and stirring, and serving.	வயதான குழந்தைகள் பொருட்களை பெறுதல், துவைத்தல், தயாரிப்புகளை கலத்தல் மற்றும் கிளறிவிடுதல் மற்றும் பரிமாறல் போன்ற இன்னும் அதிகமான பொருட்களை பயன்படுத்தலாம்.	81.0	[90,70,83]	[0.2847011846332932, -0.7494310425078954, -0.19310197779066482]	-0.219277278555089	en	tamil
After the all-fruit diet, the sufferer should follow a well-balanced diet of three basic food groups, namely seeds, nuts and grains, vegetables and fruits.	அனைத்து பழ உணவுக்குப் பிறகு, பாதிக்கப்பட்ட நபர் விதைகள், கொட்டைகள் மற்றும் தானியங்கள், காய்கறிகள் மற்றும் பழங்கள் ஆகிய மூன்று அடிப்படை உணவு வகைகளின் நல்ல சமச்சீரான உணவைப் பின்பற்ற வேண்டும்.	74.0	[50,90,82]	[-2.0539813154348314, 0.34485708797922815, -0.2567330018708161]	-0.6552857431088065	en	tamil
