original	translation	mean	source_lang	target_lang
"Baranagar is also economically enriched for ""Baranagar Jute Mill""."	बारानगर जूट मिल के लिए भी आर्थिक रूप से समृद्ध है।	85.0	en	hindi
The family includes both Indic languages ( Hindi, Urdu, Bengali, Odia, Assamese, Punjabi, Sindhi, Kashmiri, Marathi, Gujarati, Sinhala and other languages spoken primarily in South Asia) and Iranian (Persian, Kurdish, Pashto, Balochi and other languages spoken primarily in Iran, Anatolia, Mesopotamia, Central Asia, the Caucasus and parts of South Asia).	इस परिवार में भारतीय भाषाएं (हिंदी, उर्दू, बंगाली, उड़िया, असमिया, पंजाबी, सिंधी, कश्मीरी, मराठी, गुजराती, सिंहली और मुख्य रूप से दक्षिण एशिया में बोली जाने वाली अन्य भाषाएं) और ईरानी (फारसी, कुर्द, पश्तो, बलूची और मुख्य रूप से ईरान, अनातोलिया, मेसोपोटामिया, मध्य एशिया, काकेशस और दक्षिण एशिया के कुछ हिस्सों में बोली जाने वाली अन्य भाषाएं) शामिल हैं।	79.5	en	hindi
West Drayton is a suburban town in the London Borough of Hillingdon.	वेस्ट ड्रेटन (अंग्रेज़ीः West Drayton) एक उत्तरपश्चिम लंदन में हिलिंगडन बरो का जिला है।	61.5	en	hindi
He married Ponnammal and got into a lucrative government job.	उन्होंने पोन्नम्मल से शादी की और एक आकर्षक सरकारी नौकरी में प्रवेश किया।	70.0	en	hindi
Within the frontal thrust zone, there are many individual thrust faults.	फ्रंटल थ्रस्ट जोन के भीतर, कई व्यक्तिगत थ्रस्ट दोष हैं।	92.0	en	hindi
While these theories were popular in Europe, they were treated by the U.S. media with either bafflement or amusement, and they were dismissed by the U.S. government as the product of anti-Americanism.	जबकि ये सिद्धांत यूरोप में लोकप्रिय थे, उन्हें अमेरिकी मीडिया द्वारा या तो उलझन या मनोरंजन के साथ माना जाता था, और उन्हें अमेरिकी सरकार द्वारा अमेरिका-विरोधी उत्पाद के रूप में खारिज कर दिया गया था।	75.75	en	hindi
Owing to their intelligence and working breed characteristics, training based on corrections often has limited usefulness.	उनकी बुद्धिमत्ता और काम करने वाली नस्ल की विशेषताओं के कारण, सुधार पर आधारित प्रशिक्षण की अक्सर सीमित उपयोगिता होती है।	92.5	en	hindi
For example, research and development have input as to the features a product can perform and accounting approves the financial side of marketing plans and budget in customer dissatisfaction.	उदाहरण के लिए, अनुसंधान और विकास में एक उत्पाद की विशेषताओं के बारे में इनपुट होता है और लेखांकन विपणन योजनाओं के वित्तीय पक्ष और ग्राहक असंतोष में बजट को मंजूरी देता है।	82.5	en	hindi
It was everything I thought Bohemia probably was.	मैं बोहेमिया के बारे में ही सोच रहा था।	38.25	en	hindi
Mohammad Yousef Shadzehi is the only representative of the Saravan province in the Iranian men’s cricket team who will go on the Asian championship happening in Qatar after passing the last camp.	मोहम्मद युसुफ शादजेही ईरान की पुरुष क्रिकेट टीम में सरवन प्रांत के एकमात्र प्रतिनिधि हैं जो पिछले शिविर से गुजरने के बाद कतर में होने वाली एशियाई चैम्पियनशिप में जाएंगे।	73.75	en	hindi
It also applied the use of a bureaucracy and even sponsored a postal service.	इसने नौकरशाही के उपयोग को भी लागू किया और यहां तक कि एक डाक सेवा को प्रायोजित किया।	90.0	en	hindi
She completed her Prabhakar Degree from Prayag Sangeet Samiti, Allahabad.	उन्होंने प्रयाग संगीत समिति, इलाहाबाद से अपनी प्रभाकर डिग्री पूरी की।	86.5	en	hindi
